Date,Location,Positive,Tested,Discharged,Fatal,Vaccinated_1st,Vaccinated_2nd,Vaccinated_3rd
2020-07-20,Airport,455,104237.0,219.0,1,,,
2020-07-20,Returnee,15,829.0,15.0,0,,,
2020-07-21,Domestic,25255,550714.0,19921.0,987,,,
2020-07-21,Airport,466,105992.0,219.0,1,,,
2020-07-21,Returnee,15,829.0,15.0,0,,,
2020-07-22,Domestic,25807,562828.0,20403.0,988,,,
2020-07-22,Airport,481,106962.0,233.0,1,,,
2020-07-22,Returnee,15,829.0,15.0,0,,,
2020-07-23,Domestic,26529,579185.0,20787.0,989,,,
2020-07-23,Airport,485,108022.0,233.0,1,,,
2020-07-23,Returnee,15,829.0,15.0,0,,,
2020-07-24,Domestic,27441,587495.0,21080.0,991,,,
2020-07-24,Airport,500,109188.0,233.0,1,,,
2020-07-24,Returnee,15,829.0,15.0,0,,,
2020-07-25,Domestic,28266,593190.0,21319.0,992,,,
2020-07-25,Airport,505,110381.0,233.0,1,,,
2020-07-25,Returnee,15,829.0,15.0,0,,,
2020-07-26,Domestic,28851,602720.0,21514.0,995,,,
2020-07-26,Airport,516,111734.0,233.0,1,,,
2020-07-26,Returnee,15,829.0,15.0,0,,,
2020-07-27,Domestic,29432,606505.0,21868.0,995,,,
2020-07-27,Airport,522,113167.0,233.0,1,,,
2020-07-27,Returnee,15,829.0,15.0,0,,,
2020-07-28,Domestic,30406,630687.0,22560.0,997,,,
2020-07-28,Airport,540,114713.0,236.0,1,,,
2020-07-28,Returnee,15,829.0,15.0,0,,,
2020-07-29,Domestic,31333,648773.0,23256.0,1000,,,
2020-07-29,Airport,553,115744.0,236.0,1,,,
2020-07-29,Returnee,15,829.0,15.0,0,,,
2020-07-30,Domestic,32459,667442.0,23928.0,1003,,,
2020-07-30,Airport,575,116953.0,236.0,1,,,
2020-07-30,Returnee,15,829.0,15.0,0,,,
2020-07-31,Domestic,33774,687129.0,24678.0,1005,,,
